iter	Passed	Remaining
268	1155	3140
269	1166	3154
270	1170	3148
271	1183	3166
272	1192	3174
273	1195	3167
274	1198	3160
275	1206	3163
276	1209	3157
277	1213	3151
278	1263	3266
279	1270	3266
280	1274	3259
281	1277	3252
282	1285	3258
283	1289	3251
284	1293	3244
285	1296	3237
286	1303	3237
287	1309	3236
288	1312	3229
289	1319	3229
290	1322	3223
291	1326	3216
292	1330	3210
293	1358	3263
294	1362	3256
295	1366	3250
296	1372	3249
297	1376	3242
298	1381	3239
299	1390	3244
300	1394	3238
301	1412	3265
302	1426	3281
303	1429	3273
304	1436	3273
305	1439	3264
306	1441	3254
307	1445	3247
308	1451	3246
309	1490	3317
310	1495	3312
311	1502	3312
312	1507	3308
313	1518	3316
314	1521	3308
315	1526	3303
316	1533	3304
317	1537	3297
318	1540	3289
319	1547	3288
320	1554	3287
321	1557	3279
322	1565	3281
323	1568	3271
324	1570	3262
325	1573	3252
326	1577	3246
327	1581	3240
328	1583	3230
329	1586	3220
330	1588	3210
331	1593	3206
332	1596	3196
333	1598	3187
334	1600	3177
335	1602	3167
336	1608	3164
337	1611	3156
338	1614	3147
339	1617	3139
340	1620	3132
341	1624	3124
342	1626	3116
343	1629	3107
344	1631	3097
345	1635	3091
346	1639	3085
347	1641	3076
348	1644	3067
349	1646	3058
350	1648	3048
351	1654	3045
352	1657	3038
353	1660	3029
354	1662	3021
355	1666	3015
356	1670	3008
357	1672	2999
358	1675	2991
359	1677	2982
360	1684	2981
361	1688	2975
362	1691	2968
363	1693	2959
364	1700	2958
365	1703	2951
366	1705	2942
367	1708	2934
368	1712	2928
369	1716	2921
370	1718	2914
371	1721	2905
372	1723	2897
373	1730	2895
374	1733	2888
375	1735	2880
376	1737	2871
377	1740	2863
378	1746	2861
379	1748	2853
380	1750	2844
381	1753	2836
382	1755	2827
383	1760	2823
384	1762	2815
385	1765	2807
386	1767	2799
387	1769	2790
388	1774	2787
389	1776	2779
390	1779	2771
391	1781	2763
392	1783	2755
393	1788	2751
394	1792	2745
395	1794	2737
396	1797	2729
397	1799	2722
398	1802	2715
399	1805	2708
400	1808	2701
401	1810	2693
402	1813	2686
403	1816	2679
404	1820	2674
405	1822	2666
406	1825	2659
407	1826	2650
408	1829	2642
409	1833	2637
410	1836	2631
411	1838	2623
412	1840	2616
413	1843	2608
414	1845	2601
415	1849	2596
416	1851	2589
417	1854	2581
418	1856	2574
419	1859	2567
420	1861	2560
421	1865	2554
422	1867	2547
423	1869	2540
424	1872	2533
425	1874	2525
426	1878	2521
427	1881	2514
